rate_date,from_currency,to_currency,fx_rate,source,notes
2020-01-31,ARS,USD,0.012195,ambito_mep,Dólar MEP ~82 ARS/USD
2020-06-30,ARS,USD,0.009524,ambito_mep,Dólar MEP ~105 ARS/USD
2020-11-30,ARS,USD,0.006757,ambito_mep,Dólar MEP ~148 ARS/USD
2020-12-31,ARS,USD,0.006897,ambito_mep,Dólar MEP ~145 ARS/USD
2021-01-31,ARS,USD,0.006667,ambito_mep,Dólar MEP ~150 ARS/USD
2021-02-28,ARS,USD,0.006757,ambito_mep,Dólar MEP ~148 ARS/USD
2021-03-31,ARS,USD,0.006897,ambito_mep,Dólar MEP ~145 ARS/USD
2021-04-30,ARS,USD,0.006579,ambito_mep,Dólar MEP ~152 ARS/USD
2021-07-31,ARS,USD,0.005714,ambito_mep,Dólar MEP ~175 ARS/USD
2021-12-31,ARS,USD,0.004878,ambito_mep,Dólar MEP ~205 ARS/USD
2022-01-31,ARS,USD,0.004762,ambito_mep,Dólar MEP ~210 ARS/USD
2022-06-30,ARS,USD,0.004651,ambito_mep,Dólar MEP ~215 ARS/USD
2022-07-31,ARS,USD,0.003390,ambito_mep,Dólar MEP ~295 ARS/USD
2022-08-31,ARS,USD,0.003448,ambito_mep,Dólar MEP ~290 ARS/USD
2022-09-30,ARS,USD,0.003279,ambito_mep,Dólar MEP ~305 ARS/USD
2022-10-31,ARS,USD,0.003226,ambito_mep,Dólar MEP ~310 ARS/USD
2022-11-30,ARS,USD,0.003125,ambito_mep,Dólar MEP ~320 ARS/USD
2022-12-31,ARS,USD,0.002899,ambito_mep,Dólar MEP ~345 ARS/USD
2023-01-31,ARS,USD,0.002740,ambito_mep,Dólar MEP ~365 ARS/USD
2023-03-31,ARS,USD,0.002564,ambito_mep,Dólar MEP ~390 ARS/USD
2023-06-30,ARS,USD,0.002020,ambito_mep,Dólar MEP ~495 ARS/USD
2023-07-31,ARS,USD,0.001961,ambito_mep,Dólar MEP ~510 ARS/USD
2023-10-31,ARS,USD,0.001136,ambito_mep,Dólar MEP ~880 ARS/USD
2023-12-31,ARS,USD,0.001020,ambito_mep,Dólar MEP ~980 ARS/USD
2024-01-31,ARS,USD,0.000952,ambito_mep,Dólar MEP ~1050 ARS/USD
2024-03-31,ARS,USD,0.000926,ambito_mep,Dólar MEP ~1080 ARS/USD
2024-06-30,ARS,USD,0.000769,ambito_mep,Dólar MEP ~1300 ARS/USD
2024-08-31,ARS,USD,0.000758,ambito_mep,Dólar MEP ~1320 ARS/USD
2024-12-31,ARS,USD,0.000847,ambito_mep,Dólar MEP ~1180 ARS/USD
2025-01-31,ARS,USD,0.000833,ambito_mep,Dólar MEP ~1200 ARS/USD
2025-03-31,ARS,USD,0.000820,ambito_mep,Dólar MEP ~1220 ARS/USD
2025-06-30,ARS,USD,0.000781,ambito_mep,Dólar MEP ~1280 ARS/USD
2025-12-31,ARS,USD,0.000725,ambito_mep,Dólar MEP ~1380 ARS/USD
2026-01-31,ARS,USD,0.000704,ambito_mep,Dólar MEP ~1420 ARS/USD
2026-06-30,ARS,USD,0.000676,ambito_mep,Dólar MEP ~1480 ARS/USD
2026-09-15,ARS,USD,0.0006535948,iol_broker,Tipo de cambio implícito CCL/MEP de IOL (1 USD = 1530 ARS)
2026-09-30,ARS,USD,0.0006535948,iol_broker,Tipo de cambio de referencia cierre septiembre 2026
