month,asset_id,close_price_usd,as_of_date,source
2020-01,AAPL,309.51,2020-01-01,yahoo_finance_monthly
2020-02,AAPL,273.36,2020-02-01,yahoo_finance_monthly
2020-03,AAPL,254.29,2020-03-01,yahoo_finance_monthly
2020-04,AAPL,293.8,2020-04-01,yahoo_finance_monthly
2020-05,AAPL,317.94,2020-05-01,yahoo_finance_monthly
2020-06,AAPL,364.8,2020-06-01,yahoo_finance_monthly
2020-07,AAPL,425.04,2020-07-01,yahoo_finance_monthly
2020-08,AAPL,516.16,2020-08-01,yahoo_finance_monthly
2020-09,AAPL,115.81,2020-09-01,yahoo_finance_monthly
2020-10,AAPL,108.86,2020-10-01,yahoo_finance_monthly
2020-11,AAPL,119.05,2020-11-01,yahoo_finance_monthly
2020-12,AAPL,132.69,2020-12-01,yahoo_finance_monthly
2021-01,AAPL,131.96,2021-01-01,yahoo_finance_monthly
2021-02,AAPL,121.26,2021-02-01,yahoo_finance_monthly
2021-03,AAPL,122.15,2021-03-01,yahoo_finance_monthly
2021-04,AAPL,131.46,2021-04-01,yahoo_finance_monthly
2021-05,AAPL,124.61,2021-05-01,yahoo_finance_monthly
2021-06,AAPL,136.96,2021-06-01,yahoo_finance_monthly
2021-07,AAPL,145.86,2021-07-01,yahoo_finance_monthly
2021-08,AAPL,151.83,2021-08-01,yahoo_finance_monthly
2021-09,AAPL,141.5,2021-09-01,yahoo_finance_monthly
2021-10,AAPL,149.8,2021-10-01,yahoo_finance_monthly
2021-11,AAPL,165.3,2021-11-01,yahoo_finance_monthly
2021-12,AAPL,177.57,2021-12-01,yahoo_finance_monthly
2022-01,AAPL,174.78,2022-01-01,yahoo_finance_monthly
2022-02,AAPL,165.12,2022-02-01,yahoo_finance_monthly
2022-03,AAPL,174.61,2022-03-01,yahoo_finance_monthly
2022-04,AAPL,157.65,2022-04-01,yahoo_finance_monthly
2022-05,AAPL,148.84,2022-05-01,yahoo_finance_monthly
2022-06,AAPL,136.72,2022-06-01,yahoo_finance_monthly
2022-07,AAPL,162.51,2022-07-01,yahoo_finance_monthly
2022-08,AAPL,157.22,2022-08-01,yahoo_finance_monthly
2022-09,AAPL,138.2,2022-09-01,yahoo_finance_monthly
2022-10,AAPL,153.34,2022-10-01,yahoo_finance_monthly
2022-11,AAPL,148.03,2022-11-01,yahoo_finance_monthly
2022-12,AAPL,129.93,2022-12-01,yahoo_finance_monthly
2023-01,AAPL,144.29,2023-01-01,yahoo_finance_monthly
2023-02,AAPL,147.41,2023-02-01,yahoo_finance_monthly
2023-03,AAPL,164.9,2023-03-01,yahoo_finance_monthly
2023-04,AAPL,169.68,2023-04-01,yahoo_finance_monthly
2023-05,AAPL,177.25,2023-05-01,yahoo_finance_monthly
2023-06,AAPL,193.97,2023-06-01,yahoo_finance_monthly
2023-07,AAPL,196.45,2023-07-01,yahoo_finance_monthly
2023-08,AAPL,187.87,2023-08-01,yahoo_finance_monthly
2023-09,AAPL,171.21,2023-09-01,yahoo_finance_monthly
