event_date,broker_account_id,asset_id,event_type,quantity,price_original,gross_amount_original,currency,fx_to_usd,gross_amount_usd,fees_original,source_file,notes
2020-01-20,iol_broker,-,deposit,0.0,0.0,100.0,USD,1.0,100.0,0.0,MovimientosHistoricos (1).xls,Mov ID: 4764087 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - BANCO SUPERVIELLE S.A. | Inversion Argentina Dolares
2020-01-23,iol_broker,ADCGLOA,unknown,97.1668,1.03,100.0,USD,1.0,100.0,0.0,OperacionesFinalizadas (3).xls,Boleto: 257915 | Mercado: - | Adcap Renta D&#243;lar
2020-11-09,iol_broker,AL30D,buy,2718.0,38.16,1037.19,USD,1.0,1037.19,13.93,OperacionesFinalizadas (3).xls,Boleto: 4666118 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2020-11-09,iol_broker,-,deposit,0.0,0.0,1050.0,USD,1.0,1050.0,0.0,MovimientosHistoricos (1).xls,Mov ID: 6757242 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Dolares
2020-11-12,iol_broker,SPY,buy,2.0,356.32,712.63,USD,1.0,712.63,6.05,OperacionesFinalizadas (3).xls,Boleto: 40330 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2020-11-12,iol_broker,AL30C,sell,2718.0,37.9,1030.12,USD,1.0,1030.12,13.88,OperacionesFinalizadas (3).xls,Boleto: 4758743 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2020-11-12,iol_broker,-,internal_transfer,0.0,0.0,1024.97,USD,1.0,1024.97,0.0,MovimientosHistoricos (1).xls,Mov ID: 6777544 | Dep&#243;sito por transferencia interna | Inversion Estados Unidos Dolares
2020-11-12,iol_broker,-,internal_transfer,0.0,0.0,1024.97,USD,1.0,1024.97,0.0,MovimientosHistoricos (1).xls,Mov ID: 6777543 | Extracci&#243;n por Transferencia interna | Inversion Argentina Dolares
2020-12-01,iol_broker,-,interest,0.0,0.0,0.03,USD,1.0,0.03,0.0,MovimientosHistoricos (1).xls,Mov ID: 6939669 | Cr&#233;dito | Inversion Argentina Dolares
2020-12-02,iol_broker,AL30,buy,1781.0,5503.0,98008.43,ARS,0.006757,662.24,499.84,OperacionesFinalizadas (3).xls,Boleto: 5065242 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2020-12-02,iol_broker,-,deposit,0.0,0.0,100000.0,ARS,0.006757,675.7,0.0,MovimientosHistoricos (1).xls,Mov ID: 6970208 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2020-12-09,iol_broker,SPY,buy,2.0,369.65,739.3,USD,1.0,739.3,6.05,OperacionesFinalizadas (3).xls,Boleto: 50913 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2020-12-09,iol_broker,AL30C,sell,1781.0,37.17,662.0,USD,1.0,662.0,9.05,OperacionesFinalizadas (3).xls,Boleto: 5124904 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2020-12-09,iol_broker,-,internal_transfer,0.0,0.0,658.69,USD,1.0,658.69,0.0,MovimientosHistoricos (1).xls,Mov ID: 6989420 | Dep&#243;sito por transferencia interna | Inversion Estados Unidos Dolares
2020-12-09,iol_broker,-,internal_transfer,0.0,0.0,658.69,USD,1.0,658.69,0.0,MovimientosHistoricos (1).xls,Mov ID: 6989419 | Extracci&#243;n por Transferencia interna | Inversion Argentina Dolares
2021-01-01,iol_broker,-,interest,0.0,0.0,29.73,ARS,0.006897,0.21,0.0,MovimientosHistoricos (1).xls,Mov ID: 7177938 | Cr&#233;dito | Inversion Argentina Pesos
2021-01-04,iol_broker,-,deposit,0.0,0.0,90000.0,ARS,0.006897,620.73,0.0,MovimientosHistoricos (1).xls,Mov ID: 7238314 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2021-01-05,iol_broker,AL30,buy,1534.0,5797.0,88925.98,ARS,0.006897,613.32,453.52,OperacionesFinalizadas (3).xls,Boleto: 36750 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-01-08,iol_broker,SPY,buy,2.0,380.76,761.52,USD,1.0,761.52,6.05,OperacionesFinalizadas (3).xls,Boleto: 4101 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2021-01-08,iol_broker,AL30C,sell,1534.0,39.17,600.87,USD,1.0,600.87,8.35,OperacionesFinalizadas (3).xls,Boleto: 119073 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-01-29,iol_broker,AL30,buy,1749.0,5649.0,98801.01,ARS,0.006667,658.71,503.89,OperacionesFinalizadas (3).xls,Boleto: 495680 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-01-29,iol_broker,-,deposit,0.0,0.0,100000.0,ARS,0.006667,666.7,0.0,MovimientosHistoricos (1).xls,Mov ID: 7386660 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2021-02-01,iol_broker,SPY,dividend,0.0,0.0,6.27,USD,1.0,6.27,0.05,MovimientosHistoricos (1).xls,Mov ID: 30600709 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2021-02-01,iol_broker,-,interest,0.0,0.0,110.86,ARS,0.006667,0.74,0.0,MovimientosHistoricos (1).xls,Mov ID: 7499910 | Cr&#233;dito | Inversion Argentina Pesos
2021-02-03,iol_broker,SPY,buy,1.0,382.59,382.59,USD,1.0,382.59,6.05,OperacionesFinalizadas (3).xls,Boleto: 25492 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
