txn_id,account_id,txn_date,posted_date,description_raw,amount_original,currency,direction,normalized_type,counterparty,is_internal_transfer,expense_bucket,expense_type,needs_review,source_file,notes
mp_157193983468,mercadopago_ars,2026-04-30,2026-05-01,SETTLEMENT,-40880.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_157333150862,mercadopago_ars,2026-05-01,2026-05-01,PAYOUTS,-5000.0,ARS,outflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_157303610380,mercadopago_ars,2026-05-01,2026-05-01,SETTLEMENT,10000.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156433713375,mercadopago_ars,2026-04-30,2026-04-30,SETTLEMENT,20000.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156432406807,mercadopago_ars,2026-04-30,2026-04-30,SETTLEMENT,7500.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_157194104118,mercadopago_ars,2026-04-30,2026-04-30,SETTLEMENT,10000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156538281328,mercadopago_ars,2026-04-26,2026-04-30,SETTLEMENT,-700.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1743101533964,mercadopago_ars,2026-04-30,2026-04-30,SETTLEMENT,25.56,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156893619648,mercadopago_ars,2026-04-29,2026-04-29,SETTLEMENT,-11738.03,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156534255306,mercadopago_ars,2026-04-26,2026-04-29,SETTLEMENT,-11870.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1743037819064,mercadopago_ars,2026-04-29,2026-04-29,SETTLEMENT,31.24,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156112519049,mercadopago_ars,2026-04-28,2026-04-28,SETTLEMENT,1300.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742984424677,mercadopago_ars,2026-04-28,2026-04-28,SETTLEMENT,30.69,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742909492225,mercadopago_ars,2026-04-27,2026-04-27,SETTLEMENT,12.96,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155405610815,mercadopago_ars,2026-04-23,2026-04-26,SETTLEMENT,-59065.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156171976404,mercadopago_ars,2026-04-23,2026-04-26,SETTLEMENT,-700.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155709364503,mercadopago_ars,2026-04-25,2026-04-25,PAYOUTS,-122600.0,ARS,outflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156469196066,mercadopago_ars,2026-04-25,2026-04-25,SETTLEMENT,3000.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156469090046,mercadopago_ars,2026-04-25,2026-04-25,SETTLEMENT,42000.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155709233795,mercadopago_ars,2026-04-25,2026-04-25,SETTLEMENT,150000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155944817750,mercadopago_ars,2026-04-22,2026-04-25,SETTLEMENT,-650.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155940794254,mercadopago_ars,2026-04-22,2026-04-25,SETTLEMENT,-13400.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
