SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
157193983468;available_money;SETTLEMENT;-40880.00;2026-04-30T22:06:00.000-03:00;0.00;2026-05-01T23:51:28.000-03:00;-40880.00;0.00;;;2026-05-01T23:51:28.000-03:00
157333150862;;PAYOUTS;-5000.00;2026-05-01T23:12:14.000-03:00;0.00;2026-05-01T23:12:14.000-03:00;-5000.00;0.00;;;
157303610380;available_money;SETTLEMENT;10000.00;2026-05-01T19:11:30.000-03:00;0.00;2026-05-01T19:11:31.000-03:00;10000.00;0.00;;;2026-05-01T19:11:31.000-03:00
156433713375;available_money;SETTLEMENT;20000.00;2026-04-30T22:36:09.000-03:00;0.00;2026-04-30T22:36:10.000-03:00;20000.00;0.00;;;2026-04-30T22:36:10.000-03:00
156432406807;available_money;SETTLEMENT;7500.00;2026-04-30T22:24:16.000-03:00;0.00;2026-04-30T22:24:17.000-03:00;7500.00;0.00;;;2026-04-30T22:24:17.000-03:00
157194104118;bank_transfer;SETTLEMENT;10000.00;2026-04-30T22:05:48.000-03:00;0.00;2026-04-30T22:05:48.000-03:00;10000.00;0.00;;;2026-04-30T22:05:48.000-03:00
156538281328;available_money;SETTLEMENT;-700.00;2026-04-26T16:21:51.000-03:00;0.00;2026-04-30T05:31:34.000-03:00;-700.00;0.00;;;2026-04-30T05:31:34.000-03:00
1743101533964;;SETTLEMENT;25.56;2026-04-30T00:56:30.000-03:00;0.00;2026-04-30T00:56:30.000-03:00;25.56;0.00;;;
156893619648;available_money;SETTLEMENT;-8974.75;2026-04-29T05:07:36.000-03:00;-878.58;2026-04-29T22:23:55.000-03:00;-11738.03;-1884.70;;;2026-04-29T22:23:55.000-03:00
156534255306;available_money;SETTLEMENT;-11870.00;2026-04-26T15:39:24.000-03:00;0.00;2026-04-29T22:01:45.000-03:00;-11870.00;0.00;;;2026-04-29T22:01:45.000-03:00
1743037819064;;SETTLEMENT;31.24;2026-04-29T01:35:06.000-03:00;0.00;2026-04-29T01:35:06.000-03:00;31.24;0.00;;;
156112519049;bank_transfer;SETTLEMENT;1300.00;2026-04-28T23:00:28.000-03:00;0.00;2026-04-28T23:00:28.000-03:00;1300.00;0.00;;;2026-04-28T23:00:28.000-03:00
1742984424677;;SETTLEMENT;30.69;2026-04-28T06:11:44.000-03:00;0.00;2026-04-28T06:11:44.000-03:00;30.69;0.00;;;
1742909492225;;SETTLEMENT;12.96;2026-04-27T05:34:49.000-03:00;0.00;2026-04-27T05:34:49.000-03:00;12.96;0.00;;;
155405610815;available_money;SETTLEMENT;-59065.00;2026-04-23T21:50:12.000-03:00;0.00;2026-04-26T19:56:14.000-03:00;-59065.00;0.00;;;2026-04-26T19:56:14.000-03:00
156171976404;available_money;SETTLEMENT;-700.00;2026-04-23T23:12:32.000-03:00;0.00;2026-04-26T19:13:07.000-03:00;-700.00;0.00;;;2026-04-26T19:13:07.000-03:00
155709364503;;PAYOUTS;-122600.00;2026-04-25T22:42:33.000-03:00;0.00;2026-04-25T22:42:33.000-03:00;-122600.00;0.00;;;
156469196066;available_money;SETTLEMENT;3000.00;2026-04-25T22:42:11.000-03:00;0.00;2026-04-25T22:42:12.000-03:00;3000.00;0.00;;;2026-04-25T22:42:12.000-03:00
156469090046;available_money;SETTLEMENT;42000.00;2026-04-25T22:41:02.000-03:00;0.00;2026-04-25T22:41:02.000-03:00;42000.00;0.00;;;2026-04-25T22:41:02.000-03:00
155709233795;bank_transfer;SETTLEMENT;150000.00;2026-04-25T22:39:56.000-03:00;0.00;2026-04-25T22:39:56.000-03:00;150000.00;0.00;;;2026-04-25T22:39:56.000-03:00
155944817750;available_money;SETTLEMENT;-650.00;2026-04-22T13:57:55.000-03:00;0.00;2026-04-25T17:42:53.000-03:00;-650.00;0.00;;;2026-04-25T17:42:53.000-03:00
155940794254;available_money;SETTLEMENT;-13400.00;2026-04-22T13:29:44.000-03:00;0.00;2026-04-25T17:00:19.000-03:00;-13400.00;0.00;;;2026-04-25T17:00:19.000-03:00
156404967074;available_money;SETTLEMENT;-10500.00;2026-04-25T14:50:20.000-03:00;0.00;2026-04-25T14:50:21.000-03:00;-10500.00;0.00;;;2026-04-25T14:50:21.000-03:00
155242269955;available_money;SETTLEMENT;-700.00;2026-04-22T20:16:59.000-03:00;0.00;2026-04-25T12:41:24.000-03:00;-700.00;0.00;;;2026-04-25T12:41:24.000-03:00
155996460516;available_money;SETTLEMENT;-36980.00;2026-04-22T19:55:46.000-03:00;0.00;2026-04-25T06:35:42.000-03:00;-36980.00;0.00;;;2026-04-25T06:35:42.000-03:00
155722864338;available_money;SETTLEMENT;-11600.00;2026-04-20T23:27:05.000-03:00;0.00;2026-04-25T04:35:56.000-03:00;-11600.00;0.00;;;2026-04-25T04:35:56.000-03:00
155724100834;available_money;SETTLEMENT;-650.00;2026-04-20T23:46:38.000-03:00;0.00;2026-04-24T23:39:13.000-03:00;-650.00;0.00;;;2026-04-24T23:39:13.000-03:00
156326135464;available_money;SETTLEMENT;-16999.00;2026-04-24T21:54:42.000-03:00;0.00;2026-04-24T21:54:42.000-03:00;-16999.00;0.00;Mercado Pago;QR;2026-04-24T21:54:42.000-03:00
155566768939;bank_transfer;SETTLEMENT;20000.00;2026-04-24T21:53:55.000-03:00;0.00;2026-04-24T21:53:55.000-03:00;20000.00;0.00;;;2026-04-24T21:53:55.000-03:00
154754072777;available_money;SETTLEMENT;-11780.00;2026-04-19T13:50:56.000-03:00;0.00;2026-04-24T18:45:30.000-03:00;-11780.00;0.00;;;2026-04-24T18:45:30.000-03:00
155471266580;available_money;SETTLEMENT;-12431.00;2026-04-19T05:19:07.000-03:00;0.00;2026-04-24T16:06:28.000-03:00;-12431.00;0.00;;;
155512632340;available_money;SETTLEMENT;-550.00;2026-04-19T14:29:05.000-03:00;0.00;2026-04-24T13:49:04.000-03:00;-550.00;0.00;;;2026-04-24T13:49:04.000-03:00
1742839764765;;SETTLEMENT;14.41;2026-04-24T05:03:19.000-03:00;0.00;2026-04-24T05:03:19.000-03:00;14.41;0.00;;;
155405578675;bank_transfer;SETTLEMENT;40000.00;2026-04-23T21:49:56.000-03:00;0.00;2026-04-23T21:49:56.000-03:00;40000.00;0.00;;;2026-04-23T21:49:56.000-03:00
154694203123;available_money;SETTLEMENT;-9358.00;2026-04-18T22:07:05.000-03:00;0.00;2026-04-23T17:56:15.000-03:00;-9358.00;0.00;;;2026-04-23T17:56:15.000-03:00
154716679697;available_money;SETTLEMENT;-1710.00;2026-04-19T04:51:50.000-03:00;0.00;2026-04-23T01:34:02.000-03:00;-1710.00;0.00;;;2026-04-23T01:34:02.000-03:00
1742762085053;;SETTLEMENT;16.37;2026-04-23T01:02:46.000-03:00;0.00;2026-04-23T01:02:46.000-03:00;16.37;0.00;;;
155238913843;bank_transfer;SETTLEMENT;25000.00;2026-04-22T19:54:43.000-03:00;0.00;2026-04-22T19:54:43.000-03:00;25000.00;0.00;;;2026-04-22T19:54:43.000-03:00
155940558052;bank_transfer;SETTLEMENT;40000.00;2026-04-22T13:29:24.000-03:00;0.00;2026-04-22T13:29:24.000-03:00;40000.00;0.00;;;2026-04-22T13:29:24.000-03:00
1742711911886;;SETTLEMENT;14.92;2026-04-22T03:35:01.000-03:00;0.00;2026-04-22T03:35:01.000-03:00;14.92;0.00;;;
155109812549;available_money;SETTLEMENT;-23035.00;2026-04-21T23:30:25.000-03:00;0.00;2026-04-21T23:33:34.000-03:00;-23035.00;0.00;Mercado Libre;;2026-05-02T11:52:01.000-03:00
1742646734685;;SETTLEMENT;5.84;2026-04-21T01:18:13.000-03:00;0.00;2026-04-21T01:18:13.000-03:00;5.84;0.00;;;
155722824826;bank_transfer;SETTLEMENT;30000.00;2026-04-20T23:26:54.000-03:00;0.00;2026-04-20T23:26:54.000-03:00;30000.00;0.00;;;2026-04-20T23:26:54.000-03:00
154269818417;available_money;SETTLEMENT;-14649.00;2026-04-16T09:05:29.000-03:00;0.00;2026-04-20T02:48:01.000-03:00;-14649.00;0.00;;;2026-04-20T02:48:01.000-03:00
154385049077;available_money;SETTLEMENT;-30580.00;2026-04-16T21:58:19.000-03:00;0.00;2026-04-20T01:53:05.000-03:00;-30580.00;0.00;;;2026-04-20T01:53:05.000-03:00
1742574286114;;SETTLEMENT;63.97;2026-04-20T01:37:24.000-03:00;0.00;2026-04-20T01:37:24.000-03:00;63.97;0.00;;;
154393512341;available_money;SETTLEMENT;-700.00;2026-04-16T23:24:49.000-03:00;0.00;2026-04-19T23:20:00.000-03:00;-700.00;0.00;;;2026-04-19T23:20:00.000-03:00
155471209568;bank_transfer;SETTLEMENT;30000.00;2026-04-19T05:18:49.000-03:00;0.00;2026-04-19T05:18:49.000-03:00;30000.00;0.00;;;2026-04-19T05:18:49.000-03:00
154715897871;available_money;SETTLEMENT;-15000.00;2026-04-19T04:08:57.000-03:00;0.00;2026-04-19T04:08:58.000-03:00;-15000.00;0.00;Mercado Pago;QR;2026-04-19T04:08:58.000-03:00
154451460517;available_money;SETTLEMENT;-3408.57;2026-04-17T11:31:54.000-03:00;-286.64;2026-04-18T19:41:20.000-03:00;-4411.01;-715.80;;;2026-04-18T19:41:20.000-03:00
154473092345;available_money;SETTLEMENT;8250.00;2026-04-17T13:37:36.000-03:00;0.00;2026-04-17T13:37:37.000-03:00;8250.00;0.00;;;2026-04-17T13:37:37.000-03:00
1742507668795;;SETTLEMENT;32.03;2026-04-17T01:07:18.000-03:00;0.00;2026-04-17T01:07:18.000-03:00;32.03;0.00;;;
154384838885;available_money;SETTLEMENT;8250.00;2026-04-16T21:56:41.000-03:00;0.00;2026-04-16T21:56:42.000-03:00;8250.00;0.00;;;2026-04-16T21:56:42.000-03:00
154641574360;available_money;SETTLEMENT;-8639.00;2026-04-13T19:43:38.000-03:00;0.00;2026-04-16T04:35:38.000-03:00;-8639.00;0.00;;;2026-04-16T04:35:38.000-03:00
153916152423;available_money;SETTLEMENT;-700.00;2026-04-13T22:58:32.000-03:00;0.00;2026-04-16T04:21:10.000-03:00;-700.00;0.00;;;2026-04-16T04:21:10.000-03:00
1742440208466;;SETTLEMENT;39.75;2026-04-16T01:28:45.000-03:00;0.00;2026-04-16T01:28:45.000-03:00;39.75;0.00;;;
154658292698;available_money;SETTLEMENT;-13440.00;2026-04-13T21:43:49.000-03:00;0.00;2026-04-15T20:20:03.000-03:00;-13440.00;0.00;;;2026-04-15T20:20:03.000-03:00
153871583779;available_money;SETTLEMENT;-9282.00;2026-04-13T17:40:09.000-03:00;0.00;2026-04-15T20:08:38.000-03:00;-9282.00;0.00;;;2026-04-15T20:08:38.000-03:00
154145702153;available_money;SETTLEMENT;-8000.00;2026-04-15T13:07:56.000-03:00;0.00;2026-04-15T13:07:56.000-03:00;-8000.00;0.00;;;2026-04-15T13:07:56.000-03:00
1742376342518;;SETTLEMENT;43.97;2026-04-15T02:06:53.000-03:00;0.00;2026-04-15T02:06:53.000-03:00;43.97;0.00;;;
153645041283;available_money;SETTLEMENT;-30080.00;2026-04-11T22:43:48.000-03:00;0.00;2026-04-14T10:46:29.000-03:00;-30080.00;0.00;;;2026-04-14T10:46:29.000-03:00
153657167693;available_money;SETTLEMENT;-700.00;2026-04-12T01:23:59.000-03:00;0.00;2026-04-14T10:42:10.000-03:00;-700.00;0.00;;;2026-04-14T10:42:10.000-03:00
154156348650;available_money;SETTLEMENT;-650.00;2026-04-10T13:25:46.000-03:00;0.00;2026-04-14T08:47:56.000-03:00;-650.00;0.00;;;2026-04-14T08:47:56.000-03:00
154086787118;available_money;SETTLEMENT;-6139.00;2026-04-10T02:37:18.000-03:00;0.00;2026-04-14T02:42:26.000-03:00;-6139.00;0.00;;;2026-04-14T02:42:26.000-03:00
1742306284315;;SETTLEMENT;8.07;2026-04-14T01:17:11.000-03:00;0.00;2026-04-14T01:17:11.000-03:00;8.07;0.00;;;
153405197635;available_money;SETTLEMENT;-9739.00;2026-04-10T12:56:22.000-03:00;0.00;2026-04-14T00:00:17.000-03:00;-9739.00;0.00;;;2026-04-14T00:00:17.000-03:00
154641252214;bank_transfer;SETTLEMENT;100000.00;2026-04-13T19:41:16.000-03:00;0.00;2026-04-13T19:41:16.000-03:00;100000.00;0.00;;;2026-04-13T19:41:16.000-03:00
