source_file,statement_date,page,row_index_on_page,transaction_date,posting_date,card_last4,merchant,description,installments,debit_ars,credit_ars,currency,raw_date_text,raw_amount_text,confidence,notes
RESUMEN_MAST28_5_2026pdf.pdf,2026-05-28,1,1,2026-05-08,2026-05-08,,,SU PAGO,,,504640.97,ARS,08-May-26,"-504.640,97",high,Pago registrado en consolidado
RESUMEN_MAST28_5_2026pdf.pdf,2026-05-28,1,2,2026-05-08,2026-05-08,,SANCOR,SANCOR12/0592382000000,,262086.27,,ARS,08-May-26,"262.086,27",high,Débito automático
RESUMEN_MAST28_5_2026pdf.pdf,2026-05-28,1,3,2026-05-22,2026-05-22,,BINARI,BINARI20/0018838700000,,14336.28,,ARS,22-May-26,"14.336,28",high,Débito automático
RESUMEN_MAST28_5_2026pdf.pdf,2026-05-28,1,4,2026-05-27,2026-05-27,,OSDE,O.S.D.E.28887001 26/05,,240686.90,,ARS,27May--26,"240.686,90",high,Débito automático
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,1,2026-04-06,2026-04-06,,,SU PAGO,,,894940.60,ARS,06-Abr-26,"-894.940,60",high,Pago registrado en consolidado
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,2,2026-04-07,2026-04-07,,,SU PAGO,,,33378.85,ARS,07-Abr-26,"-33.378,85",high,Pago registrado en consolidado
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,3,2026-04-30,2026-04-30,,,INTERESES COMPENSATORIOS,,79.11,,ARS,,"79,11",high,Intereses liquidados en consolidado
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,4,2026-04-30,2026-04-30,,,IMPUESTO DE SELLOS,,1.83,,ARS,,"1,83",high,Impuesto liquidado en consolidado
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,5,2026-04-30,2026-04-30,,,I.V.A. 21.0%,,16.61,,ARS,,"16,61",high,IVA sobre intereses
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,6,2026-04-10,2026-04-10,,SANCOR,SANCOR11/0592382000000,,258272.58,,ARS,10-Abr-26,"258.272,58",high,Débito automático
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,7,2026-04-25,2026-04-25,,OSDE,O.S.D.E.28887001 26/04,,232365.90,,ARS,25-Abr-26,"232.365,90",high,Débito automático
RESUMEN_MAST30_4_2026pdf.pdf,2026-04-30,1,8,2026-04-27,2026-04-27,,BINARI,BINARI20/0018838700000,,13904.94,,ARS,27-Abr-26,"13.904,94",high,Débito automático
RESUMEN_VISA21_5_2026pdf.pdf,2026-05-21,1,1,2026-05-04,2026-05-04,,,SU PAGO EN PESOS,,,62800.00,ARS,04-05-26,"-62.800,00",high,Pago registrado en consolidado
RESUMEN_VISA21_5_2026pdf.pdf,2026-05-21,1,2,2026-04-27,2026-04-27,0047,MERPAGO BIGGCHACRASDECORI,MERPAGO BIGGCHACRASDECORI,,14101.50,,ARS,27-04-26,"14.101,50",high,
RESUMEN_VISA21_5_2026pdf.pdf,2026-05-21,1,3,2026-05-01,2026-05-01,0047,MERPAGO BIGGCHACRASDECORI,MERPAGO BIGGCHACRASDECORI,,62450.00,,ARS,01-05-26,"62,450,00",high,
RESUMEN_VISA21_5_2026pdf.pdf,2026-05-21,1,4,2026-05-03,2026-05-03,0047,PLAYSTATION,USD 33.99 PLAYSTATION,,33.99,,USD,03-05-26,"33,99",high,Consumo en dólares
RESUMEN_VISA21_5_2026pdf.pdf,2026-05-21,1,5,2026-05-11,2026-05-11,,Banco Galicia,GASTOS DE SERVICIO EMINENT,,57603.31,,ARS,11-05-26,"57.603,31",high,
RESUMEN_VISA21_5_2026pdf.pdf,2026-05-21,1,6,2026-05-21,2026-05-21,,,"DB IVA $ 21% 57.603,31",,12096.70,,ARS,21-05-26,"12.096,70",high,
RESUMEN_VISA21_5_2026pdf.pdf,2026-05-21,1,7,2026-05-21,2026-05-21,,,"DB.RG 5617 30% (47484,03)",,14245.20,,ARS,21-05-26,"14.245,20",high,
RESUMEN_VISA23_4_2026pdf.pdf,2026-04-23,1,1,2026-04-01,2026-04-01,,,SU PAGO EN PESOS,,,62800.00,ARS,01-04-26,"-62.800,00",high,Pago registrado en consolidado
RESUMEN_VISA23_4_2026pdf.pdf,2026-04-23,1,2,2026-04-10,2026-04-10,,Banco Galicia,GASTOS DE SERVICIO EMINENT,,51900.83,,ARS,10-04-26,"51.900,83",high,
RESUMEN_VISA23_4_2026pdf.pdf,2026-04-23,1,3,2026-04-23,2026-04-23,,,"DB IVA $ 21% 51,900,83",,10899.17,,ARS,23-04-26,"10.899,17",high,
